DRUG,DOSE,ID,OBS,TIME,TIME_UNIT,EVID,CENS,AMT,TINF,WT,UNIT,YTYPE,YNAME,MDV,STUDY,SPECIES,SEX
Docetaxel,5,5338,10.65,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5339,.,0,hours,1,0,1,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5339,278.797,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5339,22.882,1.167,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5339,8.601,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5339,7.25,4.25,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5339,8.539,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5339,11.109,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5340,.,0,hours,1,0,1,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5340,391.395,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5340,21.014,1.167,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5340,12.186,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5340,10.495,4.25,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5340,15.468,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5340,8.633,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5341,.,0,hours,1,0,2,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5341,1652.75,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5341,343.749,0.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5341,32.243,2.5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5341,17.532,4.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5341,37.967,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5341,23.052,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5342,.,0,hours,1,0,2,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5342,1603.41,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5342,226.409,0.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5342,38.79,2.5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5342,27.219,4.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5342,26.709,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5342,18.096,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5343,.,0,hours,1,0,2,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5343,1510.69,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5343,204.346,0.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5343,33.165,2.5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5343,17.678,4.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5343,27.445,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5343,10.774,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5344,.,0,hours,1,0,2,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5344,1240.93,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5344,339.546,0.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5344,58.139,2.5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5344,34.482,4.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5344,29.556,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5344,24.228,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5345,.,0,hours,1,0,2,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5345,1737.2,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5345,406.857,0.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5345,66.492,2.5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5345,28.923,4.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5345,30.578,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5345,23.15,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5346,.,0,hours,1,0,2,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5346,1739.75,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5346,272.883,0.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5346,39.859,2.5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5346,31.881,4.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5346,19.659,4.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5346,20.243,5,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5365,.,0,hours,1,0,3,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5365,3857.25,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5365,538.521,0.416,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5365,101.629,1.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5365,50.62,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5365,14.658,7.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5365,13.786,10,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5366,.,0,hours,1,0,3,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5366,3316.95,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5366,426.974,0.416,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5366,85.943,1.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5366,41.963,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5366,12.682,7.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5366,9.603,10,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5367,.,0,hours,1,0,3,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5367,2950.93,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5367,389.211,0.416,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5367,87.105,1.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5367,48.877,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5367,16.052,7.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5367,9.603,10,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5368,.,0,hours,1,0,3,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5368,4182.59,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5368,449.632,0.416,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5368,99.886,1.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5368,50.968,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5368,18.202,7.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5368,7.453,10,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5369,.,0,hours,1,0,3,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5369,4031.54,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5369,415.355,0.416,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5369,105.115,1.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5369,46.088,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5369,19.48,7.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5369,8.151,10,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5370,.,0,hours,1,0,3,0.016666667,0.2,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5370,3404.09,0.083,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5370,462.413,0.416,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5370,100.467,1.666,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5370,45.856,3.333,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5370,14.541,7.833,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5370,6.64,10,hours,0,0,.,.,0.2,ng/mL,1,Docetaxel,0,0470-2008,Rat,Male
Controls,0,5061,6.91,-48,hours,0,0,.,.,0.2088,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5061,6.94,24,hours,0,0,.,.,0.2088,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5061,6.8,96,hours,0,0,.,.,0.2088,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5061,6.93,168,hours,0,0,.,.,0.2088,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5061,7.18,240,hours,0,0,.,.,0.2088,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5061,7.47,312,hours,0,0,.,.,0.2088,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5061,7.71,384,hours,0,0,.,.,0.2088,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5061,8.11,552,hours,0,0,.,.,0.2088,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5062,6.63,-48,hours,0,0,.,.,0.2008,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5062,6.85,24,hours,0,0,.,.,0.2008,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5062,6.19,96,hours,0,0,.,.,0.2008,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5062,6.96,168,hours,0,0,.,.,0.2008,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5062,7.39,240,hours,0,0,.,.,0.2008,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5062,7.34,312,hours,0,0,.,.,0.2008,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5062,7.25,384,hours,0,0,.,.,0.2008,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5062,8.08,552,hours,0,0,.,.,0.2008,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5063,6.65,-48,hours,0,0,.,.,0.1965,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5063,6.82,24,hours,0,0,.,.,0.1965,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5063,6.87,96,hours,0,0,.,.,0.1965,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5063,7.34,168,hours,0,0,.,.,0.1965,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5063,7.23,240,hours,0,0,.,.,0.1965,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5063,7.62,312,hours,0,0,.,.,0.1965,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5063,7.34,384,hours,0,0,.,.,0.1965,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5063,8.12,552,hours,0,0,.,.,0.1965,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5064,6.46,-48,hours,0,0,.,.,0.2028,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5064,6.49,24,hours,0,0,.,.,0.2028,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5064,6.41,96,hours,0,0,.,.,0.2028,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5064,6.95,168,hours,0,0,.,.,0.2028,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5064,6.94,240,hours,0,0,.,.,0.2028,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5064,6.92,312,hours,0,0,.,.,0.2028,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5064,7.02,384,hours,0,0,.,.,0.2028,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5064,7.73,552,hours,0,0,.,.,0.2028,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5065,7.58,-48,hours,0,0,.,.,0.213,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5065,7.61,48,hours,0,0,.,.,0.213,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5065,7.12,120,hours,0,0,.,.,0.213,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5065,7.37,192,hours,0,0,.,.,0.213,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5065,7.82,264,hours,0,0,.,.,0.213,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5065,8.08,336,hours,0,0,.,.,0.213,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5065,8.01,432,hours,0,0,.,.,0.213,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5065,8.66,552,hours,0,0,.,.,0.213,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5066,6.83,-48,hours,0,0,.,.,0.1982,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5066,6.8,48,hours,0,0,.,.,0.1982,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5066,6.75,120,hours,0,0,.,.,0.1982,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5066,7,192,hours,0,0,.,.,0.1982,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5066,7.1,264,hours,0,0,.,.,0.1982,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5066,7.07,336,hours,0,0,.,.,0.1982,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5066,7.38,432,hours,0,0,.,.,0.1982,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5066,8.01,552,hours,0,0,.,.,0.1982,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5067,7.16,-48,hours,0,0,.,.,0.1973,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5067,6.31,48,hours,0,0,.,.,0.1973,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5067,6.37,120,hours,0,0,.,.,0.1973,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5067,7.12,192,hours,0,0,.,.,0.1973,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
Controls,0,5067,7.46,264,hours,0,0,.,.,0.1973,10^6/mcL,2,Red blood cells,0,0470-2008,Rat,Male
